Province,Sulphuroxide ,Nitrogenoxide,Volatileorganiccompound  ,Ammonia,Carbonmonoxide,Fineparticulatematter 
NL,28.3,59.4,65.4,0.8,261.6,9.7
PEI,0.8,5.8,9,2.2,34.8,2.5
NS,82.7,73.8,44.9,3.6,179.9,14.4
NB,29.6,39.3,35.7,3.2,147.4,9.9
QC,126,238.4,329.1,68.8,1713.8,97.6
ON,270.2,338.5,437.6,89.3,1500.4,77.5
MB,158.2,61.4,91.9,61.1,228.8,8.7
SK,111.7,174.2,257.8,101.5,291.9,14.2
AB,318.2,718.9,687.2,141.9,1191.3,33.5
BC,83.9,274.9,161.1,19,692.2,33.9
YT,0.4,2.2,2.7,0.1,12.4,0.1
NTNU,20.9,73.6,12.8,0.1,46.7,3.5
